
# **************** Reading GerdaMalaperis.txt
ĉefa|6610|ĉef-a|Kiel mi diris: mi estis bonŝanca, mi vidis lin ĝustatempe. Nu, li iris piede, kaj mi decidis lin sekvi. Ĉu vi konas tiun grandan magazenon, kiu vendas kvardek malsamajn specojn de pano kaj ĉiaspecajn ĉokoladojn kaj aliajn dolĉaĵojn? Sur la maldekstra flanko de la strato, kiu iras al la Ĉefa Sportocentro. Estas granda vendejo de mebloj apude. Nu, ne gravas, ĉu vi konas aŭ ne. Li eniris tiun panejon, aŭ tiun dolĉaĵ-vendejon, aŭ tiun... nu... tiun pan- kaj dolĉaĵ-vendejon, kaj eliris post minuto portante paperan sakon, kiu aspektis plenplena. Ŝajnis, ke li aĉetis la tutan magazenon. Mi devas diri, ke ili vendas tre bonajn aĵojn en tiu ejo. Mi, kiu tiom ŝatas ĉokoladon kaj dolĉaĵojn, ofte irus tien kaj aĉetus multon, se mi ne timus dikiĝi. Nu... e... kion mi rakontis?|a - termination of adjectives<br>
kelnero|7114|kelner-o|Ne parolu malsaĝe. Vi perfekte scias, kion mi volas diri. Estis turka aŭ pseŭdo-turka restoracio, kun stranga muziko kaj strangaj vestaĵoj. La kelneroj estis vestitaj per t.n. (= tiel nomataj) naciaj vestoj multkoloraj. Mi manĝis bonegan supon, sed poste ion, pri kio mi ankoraŭ nun min demandas, ĉu estis pecoj el hundo aŭ kato. Certe ne estis kokidaĵo, sed krom tio mi havas neniun certecon. Ankaŭ la salato estis tre bona, sed la kuko estis treege dolĉa, tro dolĉa por mi, kaj same la turka kafo. Ĝi estis nekredeble plena je sukero, kaj mi manĝis tiom da kafpulvoro, kiom mi trinkis da kafo.|kelner -  waiter<br>o - ending of nouns (substantive)<br>
iom|363|iom|Vi pravas. Io stranga okazas. Dum ŝi ne rigardas al li – ŝi nun rigardas al la granda spegulo – lia mano iom post iom, tre tre malrapide, proksimiĝas al ŝia taso...|
grupe|9586|grup-e|Paŝoj. Oni paŝas sur la strato. Gerda aŭskultas atente. Ŝi antaŭsentas, ke io grava baldaŭ okazos. Bruo de multaj homoj. Ili venas. Ili ŝajnas multaj, laŭ la bruo. Ĉu nun oni venos grupe por ŝin suferigi? Ŝlosiloj. Bruo de ŝlosiloj trans la pordo. Iu enmetas ŝlosilon en la seruron. Ŝi scias, ke ne estas ŝia kutima vizitanto. Li ne agas tiel. Li enmetas tre rapide la ŝlosilon, ĝin turnas, eniras. Ne ĉi tiu. Li provas unu fojon. Ne sukcesas. Plia bruo de ŝlosiloj. Alian fojon li provas, sen pli da sekureco. Li provas ree kaj ree per diversaj ŝlosiloj. Aŭdeblas, ke li ne konas la seruron. Kiam li enmetis ŝlosilon, li tenas ĝin laŭ diversaj direktoj, kvazaŭ li ludus per ĝi, verŝajne ĉar li esploras nekonatan seruron.|grup -  group<br>e - ending of adverbs<br>
nokto|2245|nokt-o|“Jam estas vespero. Baldaŭ venos nokto. Jes. Baldaŭ noktiĝos. Ĉu mi sekvu lin nokte?|nokt -  night<br>o - ending of nouns (substantive)<br>
signalo|11524|signal-o|Post tri horoj da atendado, io fine okazis: Linda, kiu gardostaris en la iom alta observejo, faris la deciditan signalon, kaj rapide kuris de supre al siaj kunuloj.|signal -  signal<br>o - ending of nouns (substantive)<br>
forkuri|6126|for-kur-i|“Vi pravas,” la dua respondis, “oni ĉiam rakontis pri fantomo en ĉi tiu forlasita domo. Fantomino, oni diris, kaj la voĉo estis ina. Ni rapide forkuru!”|kur -  to run<br>i - termination of the infinitive in verbs<br>
porti|6882|port-i|Prave, eble pano. Ĉiaokaze, jen mi ekvidis lian aŭton, kiu staris flanke de la strato. Mi pensis: nun li forveturos aŭte, kaj mi ne plu povos sekvi lin. Sed ne. Li nur iris porti tiun sakon al la aŭto, ĝin metis en ĝin, reŝlosis la aŭto-pordon, kaj plu piediris. Nur tiam mi havis la ideon noti la numeron de lia aŭta numer-plato. Mi do eksekvis lin plu. Li paŝis sur la dekstra flanko de la strato, kaj mi sekvis iom malproksime sur la maldekstra flanko.|port -  carry<br>i - termination of the infinitive in verbs<br>
simila|5063|simil-a|“Ĉe mi okazis la malo. Mi daŭre pensis pri vi. Mi rimarkis, ke vi ne aspektas tre ĝoje. Vi ŝajnis malfeliĉa. Mi min demandis, ĉu mi povus helpi. Vi ja tre afable konsentis min veturigi. Mi sentas min danka. Mi volus redoni al vi similan servon. Mi opiniis, ke se mi helpas vin vortigi vian malĝojon, tio eble senpezigos vin, kaj mi estos kontenta agi helpe. Eble estas stulte, sed mi ĉiam deziras feliĉigi la homojn.”|simil -  similar, alike<br>a - termination of adjectives<br>
kelksemajna|13421|kelk-semajn-a|estas svisa civitano, kies infaneco disvolviĝis en Belgio. Li studis en la Interpretista Lernejo de Ĝeneva Universitato, kaj fariĝis tradukisto/protokolisto ĉe UN (Novjorko), kaj poste ĉe Monda Organizo pri Sano (Ĝenevo). Studinte psikologion, li forlasis la tradukan profesion kaj trejniĝis kiel psikanalizisto kaj psikoterapeŭto. Dum dek jaroj post lia eksiĝo el M.O.S., tiu institucio tamen pludungis lin ĉiujare por kelksemajnaj misioj jen en Afriko, jen en la Pacifika Insularo, jen – kaj precipe – en Ekstrem-Oriento.|kelk -  some, a little, a certain<br>semajn -  week<br>a - termination of adjectives<br>
laŭofteca|13767|laŭ-oft-ec-a|Apliki la regulon «ju pli ofta la vorto, des pli frue enkonduki ĝin». La reguleco de esperanto ebligis tion fari tuj de la komenco. Internacia Kultura Servo en Zagreg havigis la necesajn laŭoftecajn vortlistojn, ricevitajn per statistika prilaborado de konversacioj surbendigitaj okaze de diversaj internaciaj kunvenoj.|oft -  often<br>ec -  denotes qualities<br>a - termination of adjectives<br>
ruĝiĝi|2446|ruĝ-i\u011d-i|“Se li iros piede, eble li vidos min, verŝajne li vidos min. Li suspektos, ke mi lin sekvas. Li turnos sin al mi. Mi ektimos. Mi paliĝos, aŭ mia vizaĝo iĝos ruĝa kiel tomato. Jes. Mi konas min. Mi paliĝos kaj tuj poste ruĝiĝos. Ĉiaokaze, mi maltrankviliĝas. Jam nun mi maltrankviliĝas.|ruĝ -  red<br>i - termination of the infinitive in verbs<br>
ekirigi|3931|ek-ir-ig-i|“Ne dankinde,” li respondas, iom seke. Kaj li ekirigas la motoron.|ek -  denotes a sudden or momentary action<br>ir -  go<br>ig -  to cause to be<br>i - termination of the infinitive in verbs<br>
kvar|7318|kvar|Ne ridu pri mi, aŭ mi ne daŭrigos la rakonton. Okazis io. Du el la soldatoj estis furiozaj, ĉar la kelnero ne volis porti al ili bieron. Ili faris bruegon, kriegis, kriaĉis, la aliaj provis ilin silentigi, kaj finfine speco de milito komenciĝis inter ili. Ili ekbatis unu la alian kun rimarkinda forto. Subite, jen unu telero flugis tra la aero, poste du, tri, kvar, kvin aliaj teleroj, unu taso eĉ flugis ĝis la plafono...|
perdita|9319|perd-it-a|Kaj se vi rakontos ĝin en la lernejo, ne estos pli bone por vi. Mi plorigos vin tute same. Mi malpurigos viajn vestojn, kaj via patrino krios furioze kiam vi revenos hejmen. Mi kuŝigos vin en akvo kaj sidos sur via kapo. Mi kaptos vin per mia speciala kaptilo kaj veturigos vin en la montaron kaj forlasos vin tie, kaj vi estos tute sola kaj perdita, kaj vi ploros. Vi...|perd -  lose<br>a - termination of adjectives<br>
destino|2643|destin-o|Kaj Linda aŭtomate ekstaras kaj ekpaŝas al la sama pordo. Ne ŝi decidis. Ŝajnas, ke ŝia korpo decidis mem. Ŝajnas, ke ŝiaj kruroj agas mem. Nu, ĉiaokaze, jen Linda sekvas lin. Al kiu mistera destino?|destin -  destine; destiny; destination<br>o - ending of nouns (substantive)<br>
sinjoro|3630|sinjor-o|“Sinjoro, ĉu vi bonvolus helpi al mi?”|sinjor -  Sir, Mr.<br>o - ending of nouns (substantive)<br>
kuŝe|5881|kuŝ-e|Kaj jen subite ŝi reagis. Ŝi iris al la pordo kaj ĝin batis kun plej granda forto. Ŝi faris timigan bruon, sed nenio okazis. Ŝi vokis pli kaj pli laŭte, kriis, kriegis, samtempe pied-batante la pordon, sed venis neniu respondo, neniu reago. Senespera, ŝi revenis al la lito kaj rekuŝiĝis, pli laca ol iam ajn. Dum multaj horoj ŝi restis tiel, kuŝe, kaj fine, tro laca, ŝi ekdormis.|kuŝ -  lie (down)<br>e - ending of adverbs<br>
flanka|6741|flank-a|Vi raportis pri via spiona sekvado, sed vi devojiĝis de la ĉefa vojo de via raporto al flankaj konsideroj pri pano kaj ĉokolado. Fakte, ĉu vi deziras iom pli da pano? Kion vi trinkas ĉi-matene? Teon, mi vidas. Ĉu vi ŝatus, ke mi replenigu vian tason?|flank -  side<br>a - termination of adjectives<br>
aventuro|3196|aventur-o|Fakte, Tom ne estas ema fidi la flegistinon. Kial? Ĉu vi scias, kara amiko, vi kiu sekvas ĉi tiun aventuron ekde la unua vorto? Ĉu vi scias, kial Tom ne emas fidi la flegistinon?|aventur -  adventure<br>o - ending of nouns (substantive)<br>
inter-soldata|7490|inter-soldat-a|Mi rimarkis tre bedaŭrindan aferon, nome, ke la blondulo ne plu troviĝas en la restoracio. Li certe foriris, dum mi tiom interesiĝis pri la inter-soldata milito. Mi vere bedaŭras mian mankon de observemo. Sed kion fari? Bedaŭri ne helpas. Mi fuŝis mian taskon. Mi provos ne fuŝi ĝin alian fojon.|soldat -  soldier<br>a - termination of adjectives<br>
atentema|3457|atent-em-a|Sed nun Tom malŝatas la aventuron. Li sin demandas, kial li sentas tiun flegistinon nefidinda. Li preferus silenteman, grav-aspektan sinjorinon. Tiu ĉi ne aspektas tre zorgeme, kaj li ne trovas ŝin atentema pri liaj demandoj. Verdire, li opinias ŝin ema fuŝi sian laboron. Li timas, ke ŝi ofte agas fuŝe. Fuŝemaj homoj ekzistas en la mondo. Kial tiu tro parolema flegistino ne estus unu el ili? Ĉu li mispaŝis, kiam li turnis sin al ŝi? Sed al kiu alia li povus sin turni? Ŝi estis la sola flegistino, kiu troviĝis en la universitato. Aŭ ĉu li mispensas?|atent -  attentive<br>em -  inclined to<br>a - termination of adjectives<br>
iradi|3326|ir-ad-i|Tom ege ŝatas sian amikon Bob. Li ŝategas lin. Li lin amas, fakte. Bob kaj li amikiĝis antaŭlonge en la urbego, kie ili vivis tiutempe – ili dumtempe eĉ iradis al la sama lernejo – sed poste Tom devis iri al malsama urbo, kaj ili ne plu vidis sin reciproke. Kiam, antaŭ kelkaj tagoj, ili retrovis unu la alian en la sama universitato, ambaŭ ege dankis la destinon.|ir -  go<br>ad -  denotes duration of action<br>i - termination of the infinitive in verbs<br>
afable|5048|afabl-e|“Ĉe mi okazis la malo. Mi daŭre pensis pri vi. Mi rimarkis, ke vi ne aspektas tre ĝoje. Vi ŝajnis malfeliĉa. Mi min demandis, ĉu mi povus helpi. Vi ja tre afable konsentis min veturigi. Mi sentas min danka. Mi volus redoni al vi similan servon. Mi opiniis, ke se mi helpas vin vortigi vian malĝojon, tio eble senpezigos vin, kaj mi estos kontenta agi helpe. Eble estas stulte, sed mi ĉiam deziras feliĉigi la homojn.”|afabl -  kind, good-natured<br>e - ending of adverbs<br>
patron|9924|patr-on|“Savita. Ŝi nun estas en via hejmo, kun via edzo. Viaj kaptintoj estas amatoroj, kiuj agis fuŝe. La etulino estis ĉe la onklino de tiu f-ino (= fraŭlino) Marta, la universitata flegistino. Ni facile trovis ŝin. Ŝi tre ĝojis revidi la patron, kaj la hejmon, kompreneble.”|patr -  father<br>on -  marks fractions<br>
historiisto|12203|histori-ist-o|“Proksimume. Kiam Marta estis flegistino en la hospitalo, ŝi ĉeestis kirurgian operacion de historiisto, Prof. (= Profesoro) Kosadi. Kiam ĉi-lasta estis duone dormanta duone vekiĝanta, li parolis nekonscie pri la trezoro de la Lumoserĉantoj. Li diris, ke temas pri malnova societo, elita, tre riĉa, pri kies trezoro li eksciis hazarde legante en la Vatikana Biblioteko.”|histori -  history, story<br>ist -  person occupied with<br>o - ending of nouns (substantive)<br>
manĝo-bruo|10622|manĝo-bru-o|“Jen,” simple diras la maldikuleto, kaj li elprenas el sako panon, kolbason, kukon, fruktojn, ĉokoladon, kaj eĉ botelon da lakto. Gerda manĝas silente. Ŝi povus manĝi eĉ pli, kvankam ŝi ĵus iom manĝis. Bob, aŭdante la manĝo-bruon, pli kaj pli malsatas, sed kion li povus fari?|bru -  noise<br>o - ending of nouns (substantive)<br>
ŝanĝi|8281|ŝanĝ-i|“Via situacio ne plaĉas al vi, ĉu? Vi dezirus ŝanĝi ĝin, ĉu ne? Nu, estas facile ŝanĝi vian situacion.|ŝanĝ -  change<br>i - termination of the infinitive in verbs<br>
ama|13604|am-a|Detektiva humura romano, kun ama kaj aventura aspektoj. Plezura kaj instrua legado por progresantoj. Legu ĝin post Gerda malaperis!|am -  love<br>a - termination of adjectives<br>
spirita|12086|spirit-a|“Por la Frataro, la Spiritaj Valoroj estas la plej altaj. Tial ĝia Trezoro estas pure Spirita.|spirit -  spirit<br>a - termination of adjectives<br>
valano|13462|val-an-o|Sub la pseŭdonimo Johán Valano, li publikigis poemaron, kanto-kasedojn, detektiv-romanojn kaj kolekton da noveloj. Sub la propra nomo li publikigis kurson de psikologio en esperanto kaj multajn artikolojn, nacilingve aŭ esperante, pri diversaj temoj psikologiaj aŭ lingvaj. Li gvidis kursojn pri psikologio en esperanto en Internacia Feria Altlernejo (La Chaux-de-Fonds, Svislando) kaj en Someraj Universitataj Kursoj – Lieĝo, Belgio).|val -  valley<br>an -  inhabitant, member<br>o - ending of nouns (substantive)<br>
malhelpi|5577|mal-help-i|Ne estis multe da lumo en la ĉambro. Kvankam ŝi sentis sin tiel laca, tiel senforta, scivolo pri la situacio tamen superis ŝian deziron plu kuŝi. Ŝi sekigis siajn okulojn kaj ellitiĝis. Ŝi iris al la eta fenestro, esperante malfermi la dikajn fenestro-kovrilojn, kiuj malhelpis la envenon de lumo. Ŝi ankaŭ esperis, ke ŝi vidos la sunon. Krome, estis tre varme en la ĉambro, kaj estus saĝe malfermi la fenestron por enlasi iom da pura aero. Sed ŝi ne sukcesis. Io malhelpis, ke tiu malnova fenestro moviĝu.|mal -  denotes opposites<br>help -  help<br>i - termination of the infinitive in verbs<br>
ne-kredeble|6510|ne-kred-ebl-e|Atendu. Mi rakontos ĉion. Por ke mia peto ŝajnu natura, mi petis lin lasi min en la centro. Li lasis min ĉe la dekstra flanko de la Granda Teatro, kaj li veturis plu. Mi ne sciis, kion fari. Mi promenis en la urbo, pensante, ke mia ideo ne estis tiel bona: mi eksciis nenion pri li, kaj troviĝis sen aŭto en la mezo de la urbo. Fakte, mi sentis min iom stulta. Mi promenis de strato al strato, provante elpensi planon, kaj jen subite mi vidas lin eliri el la poŝtoficejo. Mi estis ne-kredeble bonŝanca. Imagu! Se mi estus troviĝinta nazon-al-nazo kun li ĝuste kiam li eliris el la poŝtoficejo...! Sed mi vidis lin sufiĉe frue por min kaŝi.|kred -  believe<br>ebl -  able, possible<br>e - ending of adverbs<br>
dokumento|8520|dokument-o|“Ĉu vi legis la dokumenton? Ĉu vi komprenis ĝin?” li aldonas, kvazaŭ espere.|dokument -  document, written statement<br>o - ending of nouns (substantive)<br>
sin-donema|10424|sin-don-em-a|Gerda sentas sin pli bone. Ŝi ĵus finis manĝi. Foriris Linda, Tom kaj la policano. Ŝi parolas kun Bob, tre mallaŭte. Ili ja devas atenti, ĉu iu proksimiĝas aŭ ne. Feliĉe, eĉ sen speciale aŭskulti, ŝi ĉiam bone aŭdis, sufiĉe frue, kiam la aĉulo venas. Bob plaĉas al ŝi. Li estas granda kaj forta, kun esprimo de bonkora, sin-donema hundo.|sin -  bosom, breast<br>don -  give<br>em -  inclined to<br>a - termination of adjectives<br>
pasado|11850|pas-ad-o|Laŭ la malnova dokumento, la trezoro troviĝis en kofro metita en kavo aranĝita en la rokoj, kaj la ŝtonoj, kiuj ĝin kovris kaj kaŝis, kuŝis laŭ preciza desegno. Fakte, la ĝusta loko estis indikita per signoj tiel multaj, kvankam diskretaj, ke la pasado de l' jarcentoj ne povu forpreni ĉiujn. Pro tiuj precizaj indikoj, la ĝusta loko estis rapide trovita. La grupo forprenis la kaŝantajn ŝtonojn. Montriĝis, ke la kavo estis plenigita per korko kaj diversaj aliaj substancoj, kies celo verŝajne estis protekti la kofron kontraŭ malsekeco.|pas -  to pass<br>ad -  denotes duration of action<br>o - ending of nouns (substantive)<br>
horo|5433|hor-o|Mankis al ŝi forto, kaj ŝia tuta korpo iom doloris. Ŝi estis laca, kvazaŭ ŝi estus laborinta multajn horojn sin-sekve en la kampoj, kvazaŭ ŝi estus movinta pezajn rokojn kaj ŝtonojn dum multaj kaj multaj tagoj, sen eĉ horo da dormo, kvazaŭ ŝi estus marŝinta dum multaj kaj multaj semajnoj sur malfacila monta vojeto. Unuvorte, ŝi estis lacega, kaj ŝajnis al ŝi, ke ĉiuj muskoloj de ŝia korpo plendas pri troa laboro, nehome peza, nehome malfacila, nehome laciga.|hor -  hour<br>o - ending of nouns (substantive)<br>
vorto-provizo|13638|vorto-proviz-o|44 rakontoj el diversaj partoj de la mondo, verkitaj por plezure pligrandigi vian vorto-provizon.|proviz -  provide<br>o - ending of nouns (substantive)<br>
niaepoke|2972|nia-epok-e|“Juna viro, en ĉi tiu universitato, oni svenas en la klasĉambroj, oni svenas en la restoracio, oni svenas en la dormĉambroj, oni svenas en la banĉambroj, eble oni eĉ povus sveni en iu administra oficejo. Sed pri sveno koridora mi neniam aŭdis. Stranga epoko! Stranga generacio! Oni faras ion ajn niaepoke.”|epok -  epoch<br>e - ending of adverbs<br>
telefone|11640|telefon-e|“Dank' al Gerda. Ŝi telefone aranĝis, ke veturilo atendu min ĉe la flughaveno, kaj ke ŝoforo min veturigu ĉi tien. Ŝi estas riĉa, kaj mono solvas multajn problemojn. Ŝi donis tre precizajn indiko jn por ebligi al la ŝoforo trovi la lokon, kaj jen mi estas. Sed niaj trezorserĉantoj tuj alvenos. Ili flugis en la sama aviadilo, kiel mi, kaj kiam la ŝoforo min trovis, mi vidis ilin iri al oficejo, kie oni luas aŭtojn.”|telefon -  telephone<br>e - ending of adverbs<br>
danĝere|3828|danĝer-e|La ideo de Linda estis jena: sekvi lin estus danĝere, sed se li veturos aŭte, mi petos lin akcepti, ke mi veturu kun li, kaj dum la veturado mi igos lin paroli. Mi diskrete faros ŝajne banalajn demandojn, kaj paroligos lin. Tiel mi scios kiel eble plej multe pri li.|danĝer -  danger<br>e - ending of adverbs<br>
manĝinda|8366|manĝ-ind-a|“Vi ŝatus manĝi ion, ĉu ne? Pecon da pano vi deziras, tute certe. Aŭ ĉu frukton? Jen, rigardu, mi havas pomon kaj oranĝon por vi. Kiel belaj ili estas! Plenaj je suko, evidente. Se vi estus konsentinta labori por ni, vi jam estus plene sata. Kaj jen io alia: kuko. Ĉu ne bonega, belega, manĝinda kuko? Ĵus bakita, ankoraŭ varma. Tuŝu, sentu mem, kiel plaĉe varmeta ĝi estas. Vi malsatas nur pro via stulteco. Se vi estus saĝa, vi konsentus fari la etan laboron, kiun ni petas de vi, kaj vi tuj ricevus la manĝaĵojn. Mi bedaŭras, ke vi estas tiel obstina. Estas bedaŭrinde, vidi tiel belan knabinon suferi pro malsato. Mi sincere bedaŭras vian obstinecon. Nur eta «jes», kaj ĉio estos via.”|manĝ -  eat<br>ind -  worthy of<br>a - termination of adjectives<br>
interese|8072|interes-e|“Interese! Plej interese! La gefratoj eble kunlaboras en iu malhonesta agado. Kion ili respondas al via demandado pri tiuj strangaj okazaĵoj?”|interes -  interest<br>e - ending of adverbs<br>
respondo|5853|respond-o|Kaj jen subite ŝi reagis. Ŝi iris al la pordo kaj ĝin batis kun plej granda forto. Ŝi faris timigan bruon, sed nenio okazis. Ŝi vokis pli kaj pli laŭte, kriis, kriegis, samtempe pied-batante la pordon, sed venis neniu respondo, neniu reago. Senespera, ŝi revenis al la lito kaj rekuŝiĝis, pli laca ol iam ajn. Dum multaj horoj ŝi restis tiel, kuŝe, kaj fine, tro laca, ŝi ekdormis.|respond -  answer, reply<br>o - ending of nouns (substantive)<br>
dormĉambro|2936|dorm-ĉambr-o|“Juna viro, en ĉi tiu universitato, oni svenas en la klasĉambroj, oni svenas en la restoracio, oni svenas en la dormĉambroj, oni svenas en la banĉambroj, eble oni eĉ povus sveni en iu administra oficejo. Sed pri sveno koridora mi neniam aŭdis. Stranga epoko! Stranga generacio! Oni faras ion ajn niaepoke.”|dorm -  sleep<br>ĉambr -  room, chamber<br>o - ending of nouns (substantive)<br>
interesiĝi|7487|interes-iĝ-i|Mi rimarkis tre bedaŭrindan aferon, nome, ke la blondulo ne plu troviĝas en la restoracio. Li certe foriris, dum mi tiom interesiĝis pri la inter-soldata milito. Mi vere bedaŭras mian mankon de observemo. Sed kion fari? Bedaŭri ne helpas. Mi fuŝis mian taskon. Mi provos ne fuŝi ĝin alian fojon.|interes -  interest<br>iĝ -  to become<br>i - termination of the infinitive in verbs<br>
problemo|7634|problem-o|MI SOLVOS LA PROBLEMON|problem -  problem<br>o - ending of nouns (substantive)<br>
senigi|8550|sen-ig-i|Kompreneble ŝi legis. Ŝi estis scivola. Almenaŭ ŝi bezonis scii, kial oni ŝin kaptis kaj senigis je libereco. Tial ŝi legis. Estis malfacile kompreni, komence, sed iom post iom ŝia memoro plene revenis, ŝi rememoris la principojn de tiu sekreta lingvo, kaj ŝi sukcesis kompreni ĉion. Ŝi havis nenion alian por fari. Dum multaj horoj ŝi estis sola kun tiu dokumento, kiun ili lasis al ŝi. Sed ŝi decidis neniam respondi al ili. Ŝi ja antaŭ longe promesis al Profesoro Kosadi, ke pri tio ŝi ĉiam silentos. Neniam ŝi ŝanĝos sian decidon.|ig -  to cause to be<br>i - termination of the infinitive in verbs<br>
jes|46|jes|Jes, tiu.|
normala|1658|normal-a|Ŝi ŝajnas tute normala. Verŝajne vi imagis ion draman, dum temas pri tute simpla, tute natura okazaĵo.|normal -  normal, ordinary, typical, usual<br>a - termination of adjectives<br>
antaŭi|11631|antaŭ-i|“Kiel vi faris por antaŭi ilin?”|i - termination of the infinitive in verbs<br>
ĉambro|2296|ĉambr-o|“Se li eliros tra tiu ĉi pordo, li iros en la koridoro al iu ĉambro. Ĉu mi sekvu lin en la koridoron? Ĉu mi sekvu lin en la koridoro? Ĉu mi sekvu lin en la ĉambron, en kiun li eniros? Ne. Neeble. Mi atendos en la koridoro. Sed se nenio okazos? Se li restos longe plu en la ĉambro?|ĉambr -  room, chamber<br>o - ending of nouns (substantive)<br>
ili|400|ili|Mi ne vidas. Li estas tro malproksima. Diable! Tiu alta forta knabo nun staras inter ili kaj mi. Mi ne plu vidas.|
esti|19|est-i|Diru al mi: kiu estas tiu?|est -  be<br>i - termination of the infinitive in verbs<br>
